0,1,2,3,4,5
0.7743371688171081,0.4209389426275634,0.7199580634632068,0.6137267437705795,0.6102395787121513,0.490817495194061
0.6116210772561091,0.7444460934306896,0.5531807788092542,0.5100387534193903,0.5103210466998428,0.2838604269673071
0.4019094391864012,0.17802066120548882,0.39878250482015826,0.43950365953093823,0.4421721984647114,0.6663618713418802
0.32480350351239917,0.6876519442173205,0.37834311916786934,0.4655764330500838,0.467012615641028,0.24828716065255127
0.40353058729938446,0.4837221920670376,0.47026958149894615,0.5251640257880246,0.5242595025629324,0.5254170388171182
0.5396381307759136,0.39633283296710686,0.5905949387501631,0.5854709010340804,0.5822644367446891,0.4881166602269742
0.6559099141695373,0.6005561090324983,0.6550934863939509,0.6008626649338463,0.5970678344275999,0.2796612339280572
0.6848598838973121,0.47533302112307163,0.6171442500767724,0.5478115931495986,0.5461187075466019,0.6315261386266368
0.6071843218662845,0.4426606641664852,0.5226716627994505,0.4769032834364817,0.478081361273445,0.27989031064590886
0.5020764680067893,0.5798438925981358,0.45230540545204195,0.4415290922280848,0.44432500907405303,0.528173688044994
0.4415409254137795,0.3961192941267339,0.4450858491635661,0.45540544652447396,0.4579408152973226,0.4397300243179368
0.4459314578957167,0.5553826866017301,0.486898123135475,0.49455327910499974,0.49578758961621455,0.3875240921247163
0.485981569944566,0.5131912257796436,0.537069978481841,0.5326233594039225,0.5324709058300183,0.48132866073142583
0.5368645034773174,0.3886389564225991,0.5712135881781712,0.5738281678678537,0.5720647113985526,0.42085275323922394
0.5907230341090011,0.631513630041819,0.5833225789781507,0.5916927658776785,0.589170477520349,0.4268220224324769
0.6114754745773212,0.3849166121757428,0.5651963644146097,0.5633102831172185,0.5618384303916724,0.4674820538172251
0.5911215075653651,0.5431567923433774,0.533283391162048,0.516146818250051,0.5164183027491834,0.41704382327280193
0.5441639891312086,0.5416595835725874,0.4960921446612778,0.4617737159830089,0.464083193947326,0.44309311824575714
0.4862365462289959,0.37233884864017575,0.4843006360338126,0.45030595523811995,0.452941925932896,0.43987064953002386
0.4655854046452546,0.6010515758060713,0.5005878490820782,0.4764350744164608,0.4779278995442562,0.45177931405611665
0.4752253464027897,0.4726916614841622,0.5177682554681604,0.5074901101830176,0.5076530649665799,0.3882624702587823
0.5041625287277721,0.43908760307918915,0.5329279971772787,0.5419457573039457,0.5406819202882429,0.5272530864588774
0.5484644844207379,0.5470246618350393,0.5487945987575225,0.5661516480868756,0.5638863151007542,0.3305506605650712
0.580276677721775,0.5152113188552616,0.5494565593028654,0.5568796028905215,0.5549674833104753,0.5377378122714911
0.5857340101871462,0.41521682309445324,0.5368893842337235,0.5235578728364813,0.5229603408160651,0.3821428267075192
