Method,Stock,ACC,R2,RMSE,MAE,MAPE,r_mse,r_acc
60,1,0.5930232558139535,0.3951270779292855,0.06886328025448564,0.056543360643608674,0.010021168021279284,0.0,0.1
60,15,0.43023255813953487,-1.391260813879343,0.1303070374886712,0.11674508161323016,0.01624894029164248,0.0,0.1
60,8,0.5697674418604651,0.26960746489919096,0.4678609441106191,0.38744793647943554,0.026928201708560952,0.0,0.1
60,6,0.3023255813953488,-1.2678677566680734,2.2572911855356477,2.109597761908243,0.19225082598136053,0.0,0.1
60,12,0.5232558139534884,0.42473612896637447,0.17260785842054543,0.13969838719035305,0.03543881847236797,0.0,0.1
60,5,0.6395348837209303,0.9406387144494973,0.5018180718985061,0.39447516774022295,0.013181322513002615,0.0,0.1
60,13,0.7325581395348837,0.7921889098005362,0.1227023803684196,0.09414009803949398,0.009505735854980104,0.0,0.1
60,4,0.7325581395348837,0.966523116456423,0.06427553819660338,0.050032742522483624,0.008648485623255108,0.0,0.1
60,11,0.5465116279069767,0.5497610913885147,0.27108100840959026,0.23362248642500064,0.03129874275078546,0.0,0.1
60,3,0.5232558139534884,-0.3063953002224662,0.11244021191772266,0.09677630868068958,0.019307754776850955,0.0,0.1
60,7,0.45348837209302323,0.9327870079206426,0.09058635899225528,0.06927236046901968,0.014428637486966987,0.0,0.1
60,22,0.5697674418604651,0.8252397746397809,1.6577788179766977,1.4163939489320265,0.031153820413909905,0.0,0.1
60,10,0.6627906976744186,0.9456173539790154,0.38420295063561133,0.30293270465939554,0.012407527633377956,0.0,0.1
60,14,0.6511627906976745,0.7755879273532267,0.2832013357525988,0.2199644292787064,0.008303455350560169,0.0,0.1
60,0,0.686046511627907,0.9178242241379992,0.05150251173045126,0.04075186330218647,0.0059152150089639595,0.0,0.1
60,18,0.5232558139534884,0.11938374073454627,0.05929506277712839,0.04839375096698137,0.010670296065255108,0.0,0.1
60,2,0.6976744186046512,0.8137343993462564,0.032937918256964765,0.024294458433639192,0.006442070271715868,0.0,0.1
60,16,0.6627906976744186,0.8484212910041298,0.3470996428657294,0.2696491685024528,0.008795563692916064,0.0,0.1
60,24,0.46511627906976744,0.9230326073256033,1.0956825304427098,0.9588306338288063,0.02878720000499484,0.0,0.1
60,19,0.5465116279069767,0.8779946570666677,0.17848171351726236,0.11742264548013376,0.014166507305641084,0.0,0.1
60,9,0.46511627906976744,0.9103876905779299,0.37904012785210217,0.3458028775592184,0.016651263649789763,0.0,0.1
60,17,0.5581395348837209,0.8484422893394514,0.2920760225458745,0.2205211799089299,0.014390453196876811,0.0,0.1
60,20,0.5930232558139535,0.7306960407451598,0.13475425005624417,0.10159720487372809,0.0068867924721949135,0.0,0.1
60,31,0.4186046511627907,-1.434612408069838,0.49264048486424333,0.46979097965151767,0.08718543965092207,0.0,0.1
60,30,0.5116279069767442,0.45560974425967027,0.7086891803814879,0.6115164153520453,0.040116880003304704,0.0,0.1
60,21,0.6744186046511628,0.878730963698901,0.026261398968711918,0.021048097056011836,0.005866941553192722,0.0,0.1
60,29,0.3953488372093023,-121.66091075269742,1.9234421047135415,1.9185010167055347,0.37757500577637665,0.0,0.1
60,27,0.6162790697674418,0.9762054796732781,0.5334839650192676,0.4170355002824649,0.012565895257855944,0.0,0.1
60,23,0.6046511627906976,0.7311401238138169,0.05609279930181635,0.04420573101487272,0.00771582652142253,0.0,0.1
60,26,0.6976744186046512,0.9791149358280437,0.3838291117449283,0.2993306270865506,0.011133455391186476,0.0,0.1
60,28,0.7093023255813954,0.9795086826823116,0.04891876849179969,0.036006183846052295,0.00685164244854935,0.0,0.1
60,34,0.5465116279069767,0.6543035878744972,0.2838620598876193,0.24658271589944528,0.032439002484177276,0.0,0.1
60,36,0.5116279069767442,-9.727889409287762,0.48921719996930774,0.48425711875738103,0.06667100150097247,0.0,0.1
60,25,0.7674418604651163,0.8406846236842431,0.03249026480973388,0.025105711692987462,0.005288192690886956,0.0,0.1
60,38,0.6976744186046512,0.8254365394218761,0.04557590993485804,0.03557830566583677,0.008699325466597194,0.0,0.1
60,39,0.5813953488372093,0.8608316962502811,0.06583436121727669,0.052757044282070405,0.009629593379091245,0.0,0.1
60,32,0.813953488372093,0.9716091439683913,0.12178014436068627,0.08049585785976678,0.009333444507000098,0.0,0.1
60,37,0.5,0.8603982132437908,0.04136190350415579,0.03364252777986747,0.0087061525761201,0.0,0.1
60,33,0.813953488372093,0.9635136669805728,0.015749801650649292,0.012270055704338588,0.004098130994754265,0.0,0.1
60,35,0.6744186046511628,0.8887485799777726,0.2902172166366191,0.20757985469906828,0.025038241225751743,0.0,0.1
